epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1059.79,1.67277,2.13286,1.80346,0.34455,0.07372,0.06891,0.02563,2.12207,3.39659,2.59941,0.005743,0.005743,0.005743
45,1083.87,1.65092,2.0847,1.78379,0.33221,0.09872,0.05816,0.02301,2.20294,3.57965,2.67523,0.005644,0.005644,0.005644
46,1107.29,1.65021,2.08817,1.78642,0.31983,0.07885,0.0644,0.02502,2.16729,3.3382,2.66684,0.005545,0.005545,0.005545
47,1130.73,1.62035,2.07908,1.78177,0.31479,0.0609,0.05067,0.01739,2.11707,3.42552,2.58792,0.005446,0.005446,0.005446
48,1154.18,1.61148,2.07061,1.76309,0.31713,0.05449,0.05898,0.0257,2.18044,3.31062,2.64018,0.005347,0.005347,0.005347
49,1177.59,1.63062,2.07018,1.78103,0.33178,0.08974,0.06483,0.02479,2.14242,3.47025,2.58085,0.005248,0.005248,0.005248
50,1201.08,1.59298,2.05166,1.7568,0.30279,0.1,0.05401,0.021,2.0453,3.36205,2.58612,0.005149,0.005149,0.005149
51,1224.53,1.60026,2.00297,1.75549,0.35141,0.07051,0.07262,0.03103,2.11915,3.30144,2.56713,0.00505,0.00505,0.00505
52,1248.02,1.58977,2.01913,1.74139,0.06445,0.08365,0.05629,0.0222,2.16967,3.55673,2.57643,0.004951,0.004951,0.004951
53,1271.5,1.58425,2.02038,1.74432,0.33993,0.05769,0.06012,0.02416,2.18466,3.2766,2.69762,0.004852,0.004852,0.004852
54,1294.96,1.5765,1.94778,1.72516,0.34398,0.08505,0.06703,0.02671,2.14953,3.28277,2.61875,0.004753,0.004753,0.004753
55,1318.33,1.57197,1.98024,1.7342,0.34901,0.10192,0.07149,0.02306,2.24246,3.16868,2.72091,0.004654,0.004654,0.004654
56,1341.78,1.57477,1.98838,1.74733,0.35921,0.12051,0.07795,0.02989,2.14571,3.20111,2.60881,0.004555,0.004555,0.004555
57,1365.24,1.54903,1.94465,1.71271,0.32862,0.07244,0.0616,0.02479,2.08384,3.21501,2.49134,0.004456,0.004456,0.004456
58,1388.76,1.56604,1.92276,1.71842,0.3452,0.09615,0.05487,0.02086,2.20514,3.47241,2.64237,0.004357,0.004357,0.004357
59,1412.23,1.57507,1.94748,1.73463,0.38364,0.1,0.07818,0.03081,2.15762,3.13981,2.66104,0.004258,0.004258,0.004258
60,1435.66,1.54472,1.90174,1.70752,0.339,0.10513,0.06997,0.02688,2.27037,3.3279,2.73485,0.004159,0.004159,0.004159
61,1459.11,1.54221,1.87743,1.68992,0.3394,0.09872,0.07242,0.02685,2.15221,3.30768,2.59378,0.00406,0.00406,0.00406
62,1483.11,1.5489,1.89425,1.71524,0.33285,0.08077,0.06444,0.02842,2.08654,3.40729,2.59657,0.003961,0.003961,0.003961
63,1507.38,1.53013,1.85006,1.69377,0.35802,0.07372,0.07897,0.0298,2.1287,3.24431,2.59218,0.003862,0.003862,0.003862
64,1532.11,1.52888,1.88905,1.69921,0.3629,0.07051,0.0779,0.0335,2.18214,3.52379,2.64313,0.003763,0.003763,0.003763
65,1556.16,1.53538,1.86046,1.70597,0.36157,0.06291,0.07136,0.02698,2.1729,3.44313,2.62561,0.003664,0.003664,0.003664
66,1580.08,1.50601,1.81776,1.67392,0.08905,0.11987,0.07727,0.03042,2.20757,3.31677,2.62283,0.003565,0.003565,0.003565
67,1603.95,1.51067,1.82931,1.6765,0.36937,0.07692,0.07878,0.03056,2.18008,3.38034,2.65126,0.003466,0.003466,0.003466
68,1627.91,1.51046,1.84992,1.67657,0.32339,0.12821,0.06663,0.021,2.20554,3.35678,2.67912,0.003367,0.003367,0.003367
69,1651.88,1.49776,1.8191,1.6688,0.33333,0.12418,0.08332,0.03661,2.10054,3.09373,2.48565,0.003268,0.003268,0.003268
