epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.5284,2.48604,3.68183,2.5283,0.00075,0.00641,0.00047,0.0001,3.34774,inf,74.5488,0.0702857,0.00330159,0.00330159
2,55.5262,2.4294,3.38225,2.55947,0.00253,0.01923,0.0015,0.00038,3.3165,5.82875,3.9003,0.04022,0.00656923,0.00656923
3,81.4333,2.3255,3.31537,2.49733,0.00456,0.01154,0.00101,0.00034,2.76319,24.5434,3.3628,0.0100883,0.00977088,0.00977088
4,106.669,2.26474,3.24571,2.43262,0.00169,0.34679,0.00504,0.00201,2.57084,5.34536,3.1638,0.009703,0.009703,0.009703
5,132.75,2.20895,3.18052,2.40094,0.00521,0.21859,0.01171,0.00478,2.6699,5.9444,3.1434,0.009604,0.009604,0.009604
6,158.202,2.16528,3.06783,2.28786,0.00466,0.19936,0.0143,0.00481,2.50484,3.98156,2.97038,0.009505,0.009505,0.009505
7,183.918,2.11317,3.02019,2.25049,0.07315,0.03974,0.01983,0.00673,2.52108,5.70899,2.99231,0.009406,0.009406,0.009406
8,209.842,2.07491,2.98043,2.21574,0.00799,0.24231,0.01721,0.00518,2.37777,3.92754,2.76927,0.009307,0.009307,0.009307
9,235.367,2.0425,2.89718,2.17227,0.0347,0.05128,0.01857,0.00596,2.26647,4.07368,2.71373,0.009208,0.009208,0.009208
