epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.985,2.87897,3.78459,3.16006,0.00085,0.21111,0.00238,0.00078,3.39316,5.90466,10.7307,0.0702128,0.00330969,0.00330969
2,273.514,2.8613,3.76443,3.31573,0.01345,0.1,0.007,0.00137,3.58817,6.40479,8.83254,0.0395551,0.00598537,0.00598537
3,411.977,2.78951,3.76237,3.2843,0.35833,0.03333,0.0475,0.01083,2.77046,5.11629,3.43182,0.00823745,0.00800104,0.00800104
4,547.625,2.69201,3.68365,3.20749,0.02494,0.20741,0.04059,0.01279,2.83551,4.25392,3.07766,0.00703,0.00703,0.00703
