epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.0323,2.49756,3.7028,2.55206,0,0,0,0,5.44424,inf,62.9086,0.0702727,0.00330303,0.00330303
2,52.6336,2.41894,3.42911,2.54051,0.00095,0.05845,0.00072,0.00022,3.47283,7.53642,4.07133,0.0402289,0.00659256,0.00659256
3,77.7332,2.33691,3.36707,2.44891,0.00147,0.25607,0.00287,0.00074,2.66704,11.7122,3.46182,0.0101411,0.0098381,0.0098381
4,102.673,2.27156,3.34524,2.43654,0.00223,0.18927,0.00369,0.00131,3.17389,7.59394,4.07803,0.009802,0.009802,0.009802
5,128.038,2.25018,3.26731,2.36303,0.00361,0.18674,0.00251,0.00071,2.81017,23.8896,3.61422,0.009736,0.009736,0.009736
6,153.66,2.13336,3.13364,2.28942,0.00201,0.3669,0.00687,0.00203,2.40519,4.03141,2.89175,0.00967,0.00967,0.00967
7,179.327,2.13642,3.08174,2.25352,0.26357,0.04605,0.01256,0.00357,2.32891,5.43628,2.72162,0.009604,0.009604,0.009604
8,205.628,2.09426,3.02542,2.20877,0.25276,0.3373,0.01074,0.003,2.32119,3.76737,2.84918,0.009538,0.009538,0.009538
9,231.41,2.04488,3.01924,2.16747,0.00247,0.43548,0.00942,0.00281,2.36096,3.66087,2.87858,0.009472,0.009472,0.009472
10,257.545,2.06354,2.9421,2.18398,0.01221,0.16878,0.01079,0.00322,2.39069,3.72194,2.87779,0.009406,0.009406,0.009406
11,283.514,2.02373,2.90712,2.14113,0.26636,0.04555,0.0077,0.00221,2.50299,4.84512,2.98361,0.00934,0.00934,0.00934
12,309.331,1.99128,2.8117,2.11498,0.26343,0.05845,0.00769,0.00262,2.29319,3.92809,2.73701,0.009274,0.009274,0.009274
13,337.383,1.97542,2.7969,2.09322,0.51967,0.05263,0.03395,0.00828,2.20393,3.67894,2.62123,0.009208,0.009208,0.009208
14,364.422,1.96069,2.76887,2.09029,0.30091,0.03366,0.02669,0.00786,2.25187,3.34615,2.76849,0.009142,0.009142,0.009142
15,391.072,1.94633,2.73272,2.07138,0.26597,0.06857,0.03387,0.01153,2.19469,3.75567,2.64153,0.009076,0.009076,0.009076
16,417.559,1.92821,2.68355,2.0484,0.54519,0.04934,0.03097,0.01048,2.13802,3.50202,2.66034,0.00901,0.00901,0.00901
17,444.395,1.90955,2.71886,2.0343,0.54533,0.04555,0.0291,0.01004,2.29806,3.32852,2.74751,0.008944,0.008944,0.008944
18,470.801,1.90543,2.68364,2.01636,0.54612,0.03618,0.03994,0.01466,2.12878,3.30513,2.57467,0.008878,0.008878,0.008878
19,496.74,1.86909,2.6406,1.99236,0.53904,0.05592,0.04348,0.01462,2.11367,3.59875,2.62185,0.008812,0.008812,0.008812
20,524.839,1.86686,2.6301,1.99221,0.54543,0.05921,0.069,0.02252,2.18263,3.23952,2.59796,0.008746,0.008746,0.008746
21,550.17,1.86404,2.58167,1.98851,0.57437,0.08477,0.04738,0.01664,2.20551,3.53188,2.64508,0.00868,0.00868,0.00868
22,575.554,1.84761,2.5721,1.96848,0.56171,0.06528,0.04447,0.01624,2.16188,3.301,2.57702,0.008614,0.008614,0.008614
23,601.399,1.8382,2.54584,1.96269,0.53162,0.07819,0.02333,0.00974,2.11682,3.93391,2.59233,0.008548,0.008548,0.008548
24,626.919,1.82585,2.52753,1.96454,0.56522,0.03289,0.04107,0.01403,2.13546,3.49261,2.55842,0.008482,0.008482,0.008482
