epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.7228,2.6906,4.23318,2.74927,0,0,0,0,nan,nan,nan,0.0708333,0.00324074,0.00324074
2,20.8968,2.77604,3.90832,2.92107,0,0,0,0,nan,nan,nan,0.0406706,0.00641137,0.00641137
3,30.8705,2.72646,3.91163,2.87683,0,0,0,0,nan,nan,nan,0.0103429,0.00941699,0.00941699
4,40.4787,2.6537,3.89464,2.84118,0,0,0,0,nan,nan,nan,0.0092575,0.0092575,0.0092575
5,49.864,2.52739,3.90852,2.76961,0,0,0,0,nan,nan,nan,0.00901,0.00901,0.00901
6,59.3652,2.51396,3.88982,2.77229,0.00113,0.31481,0.00179,0.00065,2.90922,3.8127,3.55001,0.0087625,0.0087625,0.0087625
7,68.8078,2.47917,3.90041,2.74345,0.0008,0.2037,0.0009,0.00023,3.44087,3.99701,4.34111,0.008515,0.008515,0.008515
8,78.3208,2.43049,3.81671,2.69267,0.00163,0.31111,0.00316,0.00064,3.3147,3.93955,4.38976,0.0082675,0.0082675,0.0082675
9,87.7502,2.4191,3.89262,2.73007,0.00133,0.27407,0.0061,0.00185,3.06329,3.97983,3.79169,0.00802,0.00802,0.00802
10,97.2353,2.39942,3.86875,2.67663,0.00122,0.30741,0.00553,0.00128,2.90121,4.06658,3.32171,0.0077725,0.0077725,0.0077725
11,106.804,2.41719,3.74771,2.60951,0.00276,0.48889,0.00899,0.00269,2.73779,3.91395,3.20034,0.007525,0.007525,0.007525
12,116.301,2.3966,3.73295,2.59901,0.00222,0.45556,0.00845,0.00201,2.6967,4.46144,3.29981,0.0072775,0.0072775,0.0072775
13,125.746,2.34183,3.64564,2.56496,0.00185,0.45556,0.00718,0.00178,2.79008,3.69905,3.25254,0.00703,0.00703,0.00703
14,135.226,2.32337,3.70237,2.55404,0.00203,0.52593,0.04362,0.01403,2.44888,3.68937,3.0375,0.0067825,0.0067825,0.0067825
15,144.681,2.37566,3.6515,2.56948,0.00185,0.49259,0.01113,0.00311,2.90327,3.59121,3.6964,0.006535,0.006535,0.006535
16,154.139,2.32783,3.60826,2.53069,0.33604,0.2,0.02065,0.00535,2.48177,5.03021,3.27375,0.0062875,0.0062875,0.0062875
17,163.587,2.2964,3.58595,2.51175,0.00214,0.59259,0.01127,0.00256,2.73802,3.64742,3.32951,0.00604,0.00604,0.00604
18,173.007,2.25804,3.54318,2.43895,0.00223,0.5963,0.01505,0.00448,2.42827,3.60804,2.93915,0.0057925,0.0057925,0.0057925
19,182.497,2.2546,3.47645,2.3993,0.01033,0.34444,0.02736,0.00709,2.44262,4.11068,3.12566,0.005545,0.005545,0.005545
20,191.886,2.26656,3.52324,2.42021,0.01072,0.41481,0.02125,0.00566,2.50356,3.64579,2.95532,0.0052975,0.0052975,0.0052975
21,201.353,2.23912,3.41898,2.37524,0.00175,0.48889,0.01864,0.00359,2.5237,3.63409,2.97994,0.00505,0.00505,0.00505
22,210.865,2.20586,3.48201,2.33812,0.67964,0.16667,0.02995,0.00739,2.3606,3.66659,2.84222,0.0048025,0.0048025,0.0048025
23,220.343,2.1849,3.38645,2.32507,0.05768,0.22128,0.04124,0.01162,2.30661,3.31991,2.84176,0.004555,0.004555,0.004555
24,229.791,2.1537,3.33192,2.31514,0.34448,0.55926,0.04228,0.01064,2.26105,3.33268,2.67759,0.0043075,0.0043075,0.0043075
25,239.237,2.17617,3.34321,2.31509,0.34533,0.2,0.06074,0.0113,2.4071,3.33464,2.88299,0.00406,0.00406,0.00406
26,248.682,2.16829,3.33877,2.31614,0.04877,0.27407,0.03097,0.00829,2.40501,3.95743,2.93733,0.0038125,0.0038125,0.0038125
27,258.164,2.14098,3.25194,2.27706,0.70881,0.2,0.04438,0.01169,2.17389,3.65618,2.64713,0.003565,0.003565,0.003565
28,267.534,2.13086,3.24092,2.25378,0.3463,0.2,0.02985,0.00668,2.78832,4.02858,3.36744,0.0033175,0.0033175,0.0033175
29,277.001,2.13173,3.18914,2.27064,0.34127,0.2,0.02596,0.00633,2.36132,3.6896,3.03551,0.00307,0.00307,0.00307
30,286.566,2.09977,3.22587,2.22903,0.72476,0.23333,0.07792,0.01965,2.05773,3.22739,2.5788,0.0028225,0.0028225,0.0028225
31,308.013,2.27877,3.39421,2.57386,0.67555,0.3,0.03028,0.01053,2.11828,3.58983,2.60601,0.002575,0.002575,0.002575
32,317.363,2.20133,3.27667,2.539,0.67783,0.16667,0.08092,0.0362,2.38852,3.82548,2.93726,0.0023275,0.0023275,0.0023275
33,326.77,2.18326,3.16135,2.51949,0.36108,0.26667,0.15774,0.05578,2.09686,3.21848,2.5795,0.00208,0.00208,0.00208
34,336.257,2.16674,3.16569,2.53836,0.39175,0.16667,0.08337,0.02561,2.08551,3.53258,2.64453,0.0018325,0.0018325,0.0018325
35,345.665,2.18217,3.16754,2.51249,0.73369,0.06667,0.10681,0.0376,2.03952,2.99275,2.52922,0.001585,0.001585,0.001585
36,355.131,2.16737,3.11054,2.50647,0.76859,0.13222,0.16228,0.04535,2.10689,2.80279,2.55936,0.0013375,0.0013375,0.0013375
37,364.539,2.13546,3.03717,2.49565,0.72062,0.13333,0.13549,0.06107,1.92778,2.98074,2.39763,0.00109,0.00109,0.00109
38,373.955,2.06763,3.02196,2.43718,0.72885,0.23333,0.14893,0.04823,2.09094,2.71262,2.54788,0.0008425,0.0008425,0.0008425
39,383.322,2.10499,2.98682,2.45445,0.71234,0.26667,0.14678,0.05175,2.0496,2.83142,2.52929,0.000595,0.000595,0.000595
40,392.726,2.12687,3.01804,2.4606,0.71554,0.16667,0.13388,0.05745,1.97299,2.82515,2.46972,0.0003475,0.0003475,0.0003475
