epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.8218,2.62164,4.06726,2.65592,0,0,0,0,nan,nan,nan,0.07075,0.00325,0.00325
2,21.2324,2.77101,3.9486,2.84071,0,0,0,0,nan,nan,nan,0.0405871,0.0064204,0.0064204
3,31.8269,2.64367,3.97449,2.79115,0,0,0,0,nan,nan,nan,0.0102591,0.00942579,0.00942579
4,43.1715,2.62907,3.97329,2.73849,2e-05,0.01562,1e-05,0,nan,nan,nan,0.0092575,0.0092575,0.0092575
5,55.7409,2.53755,3.94334,2.68297,0.00055,0.13221,0.00146,0.0003,3.93176,3.67192,5.52921,0.00901,0.00901,0.00901
6,73.5542,2.48425,3.81738,2.63184,0.00073,0.20553,0.00188,0.00063,3.22743,4.6242,3.84878,0.0087625,0.0087625,0.0087625
7,92.1877,2.46102,3.77594,2.59139,0.50062,0.10938,0.00505,0.00137,2.78844,5.27172,3.3756,0.008515,0.008515,0.008515
8,109.863,2.37618,3.73621,2.50462,0.25436,0.13822,0.00304,0.00087,2.95201,4.6572,3.39694,0.0082675,0.0082675,0.0082675
9,127.778,2.4192,3.74174,2.51024,0.00111,0.29327,0.00922,0.00185,2.88963,3.72287,3.20591,0.00802,0.00802,0.00802
10,145.17,2.33946,3.61325,2.46044,0.00158,0.27885,0.00206,0.00057,2.58596,4.90178,3.29386,0.0077725,0.0077725,0.0077725
11,163.603,2.366,3.62326,2.44015,0.00132,0.35697,0.01021,0.00256,2.6572,3.68974,3.21982,0.007525,0.007525,0.007525
12,180.538,2.29663,3.59163,2.41607,0.50448,0.17188,0.00842,0.00234,2.61396,4.00074,2.99931,0.0072775,0.0072775,0.0072775
13,197.3,2.29038,3.60042,2.42023,0.50321,0.10938,0.00839,0.00241,2.56357,4.14841,3.05074,0.00703,0.00703,0.00703
14,214.277,2.3196,3.55996,2.43445,0.00236,0.33173,0.00575,0.00135,2.78118,4.03915,3.10975,0.0067825,0.0067825,0.0067825
15,233.168,2.25212,3.52518,2.36276,0.00951,0.23918,0.01557,0.00453,2.33637,3.7372,2.7966,0.006535,0.006535,0.006535
16,250.241,2.21875,3.50467,2.31974,0.00312,0.38822,0.01684,0.00437,2.40074,3.6202,2.828,0.0062875,0.0062875,0.0062875
17,266.607,2.24454,3.46542,2.3367,0.00376,0.41707,0.01813,0.00601,2.24009,3.58516,2.64781,0.00604,0.00604,0.00604
18,282.798,2.2148,3.43973,2.32231,0.7664,0.09375,0.02297,0.00738,2.2428,3.5612,2.62915,0.0057925,0.0057925,0.0057925
19,299.714,2.17731,3.44191,2.28036,0.26203,0.22356,0.01582,0.00565,2.10899,3.86489,2.61504,0.005545,0.005545,0.005545
20,318.52,2.20389,3.43539,2.29424,0.51224,0.0625,0.0153,0.00512,2.18898,3.64599,2.63486,0.0052975,0.0052975,0.0052975
21,335.722,2.15854,3.34455,2.25978,0.50481,0.10938,0.00795,0.00219,2.68261,4.14256,3.37933,0.00505,0.00505,0.00505
22,352.181,2.15708,3.2938,2.23495,0.79224,0.04688,0.0328,0.00882,2.20137,3.3613,2.68632,0.0048025,0.0048025,0.0048025
23,369.367,2.09904,3.2708,2.18375,0.01299,0.45793,0.02244,0.00813,2.21412,3.69446,2.6321,0.004555,0.004555,0.004555
24,386.493,2.14996,3.30109,2.24159,0.50584,0.0625,0.01785,0.00538,2.52587,3.83456,2.99092,0.0043075,0.0043075,0.0043075
25,408,2.1494,3.27782,2.25993,0.27616,0.20072,0.02473,0.00841,2.09697,3.74161,2.50391,0.00406,0.00406,0.00406
26,426.635,2.09489,3.2428,2.19858,0.51051,0.18389,0.02532,0.00859,2.23572,3.26555,2.65896,0.0038125,0.0038125,0.0038125
27,443.293,2.07367,3.16698,2.1798,0.52496,0.08774,0.02472,0.00792,2.27996,3.50881,2.69044,0.003565,0.003565,0.003565
28,459.881,2.0903,3.22083,2.18709,0.56102,0.05649,0.02352,0.00922,2.18054,3.63228,2.62514,0.0033175,0.0033175,0.0033175
29,477.064,2.06788,3.15472,2.16569,0.77659,0.0625,0.02385,0.00801,2.27987,3.40749,2.70272,0.00307,0.00307,0.00307
30,494.093,2.06869,3.19849,2.17015,0.83906,0.03501,0.04885,0.01691,2.24621,3.17745,2.63043,0.0028225,0.0028225,0.0028225
31,529.463,2.20958,3.43158,2.51402,0.75824,0.01562,0.01873,0.00522,2.385,4.1419,2.98125,0.002575,0.002575,0.002575
32,548.944,2.19877,3.3494,2.51331,0.50972,0.14062,0.03746,0.0145,2.00529,3.44461,2.51562,0.0023275,0.0023275,0.0023275
33,567.445,2.14462,3.22458,2.47622,0.51389,0.15625,0.04021,0.01432,2.12613,3.69899,2.57524,0.00208,0.00208,0.00208
34,585.498,2.11163,3.21706,2.47723,0.51419,0.10938,0.06825,0.01994,2.00267,3.35326,2.60676,0.0018325,0.0018325,0.0018325
35,602.471,2.11001,3.18862,2.45516,0.51335,0.14062,0.0397,0.01572,1.93796,3.50616,2.47402,0.001585,0.001585,0.001585
36,620.41,2.09039,3.1412,2.42774,0.54435,0.17308,0.07528,0.03023,2.00689,2.98857,2.47021,0.0013375,0.0013375,0.0013375
37,636.515,2.08472,3.07325,2.42012,0.55917,0.07812,0.08805,0.02863,1.98848,3.22509,2.50823,0.00109,0.00109,0.00109
38,652.897,2.09389,3.01895,2.4178,0.63861,0.09736,0.10008,0.03437,1.93662,2.96838,2.43011,0.0008425,0.0008425,0.0008425
39,668.499,2.08442,3.08056,2.4188,0.55811,0.1241,0.07737,0.02628,2.00078,2.97811,2.44137,0.000595,0.000595,0.000595
40,685.524,2.04541,3.00774,2.39449,0.55527,0.11899,0.07148,0.02778,1.97478,2.96951,2.4079,0.0003475,0.0003475,0.0003475
